kyA: kyA/__p
aMSakAlika: None
aMSakaraNa: None
aMsakUta: None
aMsala: None
aMsaPalaka: None
aMSapawra: None
aMSapUzjI: None
aMSaSoXana: None
aMSAvawAra: None
aMSawa: None
aMSaxAna: rAw/a__n
aMSaXArI: None
aMSI: None
AMSika: rAw/a__n
aMSu: None
aMSumAna: None
aMtaka: None
amugXa: None
amuka: wIn/a__adj
amuKa: None
amUka: None
amukwa: None
Amukwa: None
Amukwi: None
amuKya: None
amUla: None
AmUla: rAw/a__n
amUlya: wIn/a__adj
amUrwa: None
amUrwi: None
aMwabelA: None
aMwagAmI: None
aMwahapura: None
aMwaHkalaha: None
aMwaHkaraNa: rAw/a__n
aMwaHkaWA: None
aMwaHpariXi: None
aMwaHsuKa: None
aMwaHSuxXi: None
aMwaHsvexa: None
aMwa: rAw/a__n
aMwakArI: None
aMwakarma: None
aMwakriyA: None
aMwara: rAw/a__n
aMwarA: None
aMwarajAla: None
aMwarAla: rAw/a__n
aMwaraMga: wIn/a__adj
aMwaraMgI: None
aMwaraNa: rAw/a__n
aMwararARtrIya: wIn/a__adj
aMwarawama: None
aMwarAwmA: None
aMwaraxvaMxva: None
aMwarAya: None
aMwargawa: wIn/a__adj
aMwar: None
AMwarika: rAw/a__n
aMwarikRa: rAw/a__n
aMwarikRayAna: None
aMwarima: wIn/a__adj
aMwarIya: None
aMwarjAwIya: None
aMwarjFAna: None
aMwarjvAlA: None
aMwarjyowi: None
aMwarlIna: None
aMwarrARtrIya: wIn/a__adj
aMwarvAsI: None
aMwarXAna: None
aMwarxarSI: None
aMwarxeSIya: None
aMwarxqRti: None
aMwaryAmI: None
aMwawaH: None
aMwevAsI: None
aMwima: wIn/a__adj
aMwra: None
aMwya: None
aMwyaja: None
aMwyakarma: None
aMwyAkRara: None
aMwyAkRarI: None
aMwyakriyA: None
aMwyalopa: None
aMwyeRti: SAnwi/__n
aMXada: None
aMXa: Karc/a__n
aMXA: kAl/A__adj
aMxAja: rAw/a__n
aMxAjA: kAl/A__n
aMxAjana: None
aMXaka: None
aMXakAra: None
aMXAkuppa: None
aMXAnukaraNa: None
aMXApana: None
aMxara: rAw/a__n
aMxarUnI: ajAwI/__adj
aMXaviSvAsa: rAw/a__n
aMXAXuMXa: rAw/a__n
aMXeragarxI: None
aMXera: Karc/a__n
aMXerA: kAl/A__adj
aMXeraKAwA: None
aMXeranagarI: None
aMxeSA: bAlikA/__adj
AMxolana: rAw/a__n
AMxolanakArI: ladak/I__n
AMxolanasamiwi: None
AMxoliwa: None
aMXra: None
AMXra: rAw/a__n
anaBala: None
anaBalA: None
anabana: rAw/a__n
anaBiBUwa: None
anaBihiwa: None
anaBijFa: None
anaBilARa: None
anaBimawa: None
anaBiprewa: None
anaBIRta: None
anaBirUpa: None
anaBisaMXAna: None
anaBivyakwa: None
anabola: None
anabolA: None
anaBra: None
anabUJa: None
anabyAhA: None
anaByASa: None
anaByAsa: None
anaByaswa: None
anacahA: None
anacAhawa: None
anAcAra: None
anAcaraNa: None
anAcArI: None
anacInhA: None
anAdI: None
anadvAn: None
anADya: None
anagaDa: None
anaGa: None
anAgama: None
anAgawa: None
anaginawa: wIn/a__adj
anagni: None
anAGrAwa: None
anahaMkAra: None
anAhAra: None
anAhArya: None
anAhawa: None
anahiwa: None
anahonI: ladak/I__n
anAhUwa: None
Ana: Karc/a__n
AnA: kAl/A__adj
anAja: rAw/a__n
anajAna: wIn/a__adj
anajanmA: None
anAjFAkArI: None
anAjFapwa: None
anAjFAwa: None
anAjI: None
anajoKa: None
anakahA: None
anaKa: None
anAkAnI: None
anAkAra: None
anAkarRaNa: None
anAkramaNa: None
anAkrAMwa: None
anakRara: None
anAkula: None
analacUrNa: None
anala: None
anAlaMba: None
analamuKa: None
anAlApa: None
analapaMKa: None
analapriyA: None
analasa: None
analaxIpana: None
anAlociwa: None
analpa: None
anAma: None
anAmA: None
anamana: None
anamanA: None
anAmaya: None
anaMga: rAw/a__n
anaMgavawI: None
anaMgI: None
anAmikA: None
anAmiRa: None
anamiwra: None
anaMjana: None
anamola: wIn/a__adj
anaMwacawurxaSI: None
anaMwaga: None
anaMwaguNa: None
anaMwa: wIn/a__adj
anaMwajiw: None
anaMwakara: None
anaMwakAya: None
anaMwamAyI: None
anaMwamUla: None
anaMwanAWa: None
anaMwapAra: None
anaMwarASi: None
anaMwarIya: None
anaMwarUpa: None
anaMwaSIrRa: None
anaMwaSrI: None
anaMwataMka: None
anaMwavijaya: None
anaMwawIrWakqwa: None
anaMwaxarSana: None
anaMwaxeva: None
anaMwya: None
AnaMwya: None
anaMxa: None
AnaMxa: rAw/a__n
AnaMxakoSa: None
AnaMxamaMgala: None
AnaMxamaya: None
AnaMxana: None
anana: None
Anana: rAw/a__n
anannAsa: rAw/a__n
ananuBARaNa: None
ananuBUwa: None
ananujFApiwa: None
ananujFAwa: None
ananukUla: None
ananumawa: None
ananumoxana: rAw/a__n
ananupAlana: None
ananurUpa: None
ananvaya: None
ananviwa: None
Ananxa: rAw/a__n
ananyaBAva: None
ananyaciwwa: None
ananya: wIn/a__adj
ananyapUrvA: None
ananyapUrva: None
ananyASriwa: None
ananyawA: None
ananyaxeva: None
ananyAXikAra: None
ananyaxqRti: None
anapaBraMSa: None
anapaca: None
anapaDa: wIn/a__adj
anapakAra: None
anapakAraka: None
anapakArI: None
anapakarRa: None
anaparAXa: None
anapawya: None
anapAya: None
anapekRa: None
anapekRA: None
anapekRI: None
anapekRiwa: None
anapekRya: None
anapewa: None
anAraBya: None
anAra: rAw/a__n
anAraMBa: None
anAraxAnA: bAlikA/__adj
AnarerI: None
anarGa: None
anargala: None
anarha: wIn/a__adj
anarhawA: None
anarhIkaraNa: None
anarhIkqwa: None
anArI: None
anarIwi: None
anArjava: None
anarjiwa: None
anArogya: None
anArogyakara: None
anArRa: None
anArReya: None
anaruci: None
anarWaBAva: None
anarWabuxXi: None
anarWa: rAw/a__n
anarWaka: None
anarWakArI: None
AnarWakya: None
anarWanASI: None
anarWaxarSI: None
anarXya: None
anArya: None
anASa: None
anASaka: None
anAsakwa: None
anAsakwi: None
anasamaJA: None
anaSana: None
anAsAxiwa: None
anASI: None
anASraya: None
anASriwa: None
anasunA: kAl/A__adj
anasunI: ajAwI/__adj
anasUyA: None
anaSvara: None
anAsvAxa: None
anAsvAxiwa: None
anAsWA: None
anavacCinna: None
anavagAhI: None
anavagawa: None
anavagraha: None
anavakASa: None
anavalaMbiwa: None
anavana: None
anavApwa: None
anavApwi: None
anavara: rAw/a__n
anAvaraNa: rAw/a__n
anavarawa: rAw/a__n
anavaroXa: None
anAvarwaka: None
anAvarwI: None
anavasAna: None
anavasara: None
anavasiwa: None
anavasWA: None
anavasWAna: None
anavasWiwa: None
anavasWiwi: None
anAvaSyaka: wIn/a__adj
anavaXAna: None
anavaXAnawA: None
anavaxya: None
ANavika: wIn/a__adj
anAvixXa: None
anAvqRti: None
anAvqwa: None
anAvqwwa: wIn/a__adj
anAvqwwi: None
anawa: None
anAWa: rAw/a__n
anAWAlaya: None
anAWAnusArI: None
anAWasaBA: None
anAWASrama: None
anawi: None
anawikramaNIya: None
anAwma: None
anAwmavAn: None
anAwura: None
anAwyaMwika: None
anAxara: None
anAxaraNa: None
anAxariwa: None
anaxeKA: kAl/A__adj
anaxeKI: ajAwI/__adj
anAxeSa: None
anAxeya: None
anaXigamya: None
anaXigawa: None
anAxi: None
anaXika: wIn/a__adj
anaXikAra: None
anaXikArI: None
anAXikArika: None
anaXikqwa: None
anaXIna: None
anAxiRta: None
anaXiRTAna: None
anaXiRTiwa: None
anaXyAsa: None
anaXyavasAya: None
anaxyawana: None
anaXyAya: None
anaXyayana: None
anaya: None
anAyuRya: None
anEcCika: wIn/a__adj
aneha: None
anehA: None
anekacara: None
anekaciwwa: None
anekAgra: None
aneka: rAw/a__n
anekaja: None
anekakAma: None
anekAkI: None
anekAkRara: None
anekalocana: None
anekamuKa: None
anekAMwa: None
anEkAMwika: None
anekAneka: wIn/a__adj
anekarUpa: None
anekArWa: None
anekArWaka: None
anekaSabxa: None
anekASraya: None
anekASriwa: None
anekavacana: None
anekavAxa: None
anekawA: kAl/A__n
anEkya: None
anEpuNa: None
anESvarya: None
AnevAlA: kAl/A__n
anEwihAsika: None
anEwika: wIn/a__adj
anibaMXa: None
anibaxXa: None
anicCa: None
anicCA: kAl/A__n
anicCaka: None
anicCiwa: None
anicCu: None
anicCuka: None
anigraha: None
anIka: None
anikewa: None
anila: rAw/a__n
anilaya: None
aNimA: None
animaMwriwa: None
aNimAxika: None
animeRa: None
animiRa: None
animiwwa: None
aniMxa: None
aniMxanIya: None
aniMxiwa: None
aniMxya: None
anIpsiwa: None
anipuNa: None
anirAkaraNa: None
anirNaya: None
aniRpanna: None
aniRtagraha: None
aniRta: rAw/a__n
aniRtakara: None
aniRtaPala: None
aniRtApAxana: None
aniRtApwi: None
aniRtaSaMkA: None
anirukwa: None
aniruxXa: wIn/a__adj
anirvacanIya: wIn/a__adj
anirvAcya: None
anirvAha: None
anirvAhya: None
anirvANa: None
anirvexa: None
anirXArya: None
anirxeSa: None
anirxeSya: None
anirxiRta: None
anirxiSya: None
anirxXAriwa: None
anISa: None
aniScaya: None
aniSciwa: wIn/a__adj
anISvara: None
anivArya: rAw/a__n
anivAryawA: kAl/A__n
AnIwa: None
anIwa: None
aniwya: None
anixra: None
anixrA: None
anixriwa: None
aniyama: None
aniyamiwa: wIn/a__adj
aniyamiwawA: pIdZ/A__n
aniyaMwriwa: None
aniyawa: None
aniyawAwmA: None
aniyoga: None
aniyukwa: None
anjAna: None
anna: rAw/a__n
annakAla: None
annakUta: None
annaprASana: None
annapUrNA: None
annaxA: None
annaxAwA: None
annaxoRa: None
annopalabXi: None
anOciwya: None
anoKA: kAl/A__n
anoKApana: None
anOpAcArika: None
anOpacArika: rAw/a__n
anOpamya: None
aNoraNIyAn: None
anOxXawya: None
anqwa: None
anuBAga: rAw/a__n
aNuBA: None
aNubama: None
anubaMXa: rAw/a__n
anubaMXaka: None
anubaMXana: None
anubaMXapawra: None
anuBARaNa: None
anuBava: rAw/a__n
anuBAva: None
anuBAvaka: None
anuBavI: ajAwI/__adj
anuBAvI: None
anuBavokwi: None
anubaxXa: None
anuBoga: None
anuboXa: None
anuBUwa: None
anuBUwi: Apawwi/__n
anuBUwivAxa: None
anucara: None
anucArI: None
anuccariwa: None
anucCexa: rAw/a__n
anucCiRta: None
anuciMwana: None
anuciwa: rAw/a__n
anugama: None
anugamana: None
anugAmI: None
anugawa: None
anugawArWa: None
Anugawika: None
anugAyana: None
anugqhIwa: None
anugraha: rAw/a__n
anugrAhaka: None
anugrahakAla: None
anugrahaXana: None
anugrAhI: None
anugrAhya: None
anuguNa: None
anuhAra: None
anuhAri: None
aNu: vAyu/__n
anujA: None
anuja: rAw/a__n
anujAwA: None
anujAwa: None
anujFA: kAl/A__n
anujFAna: None
anujFApawra: None
anujFapwi: Apawwi/__n
anujFAwa: wIn/a__adj
anujFAXArI: None
anujFeya: rAw/a__n
anujIvI: None
anukAla: None
anukalpa: None
anukAMkRA: None
anukaMpA: None
anukaMpana: None
anukaMpiwa: None
anukaMpya: None
anukaraNa: None
anukaraNIya: None
anukarRa: None
anukarRaNa: None
anukarwA: None
anukaWana: None
anukqwa: None
anukqwi: None
anukrama: rAw/a__n
anukramaNa: None
anukramaNI: None
anukramaNikA: None
Anukramika: None
anukriyA: None
anukUla: wIn/a__adj
anukUlA: pIdZ/A__n
anukUlana: rAw/a__n
anukUlawA: kAl/A__n
AnukUlika: None
anukUlIkaraNa: None
anukUliwa: wIn/a__adj
AnukUlya: None
anukwa: None
anUkwa: None
anukwi: None
anUkwi: None
anuKyAwA: None
anuKyAwi: None
anulABa: None
anulagna: wIn/a__adj
anulApa: None
anulepa: None
anulipi: None
anuloma: None
anulomana: None
Anulomika: None
anumAna: rAw/a__n
AnumAnika: None
anumAnokwi: None
anumApa: None
anumApaka: None
anumApana: None
anumaraNa: None
anumawa: None
anumawi: SAnwi/__n
anumawipawra: None
aNumAwra: None
anumeya: None
anumiwa: None
anumiwi: None
anumoxana: rAw/a__n
anumoxiwa: wIn/a__adj
anunAsika: wIn/a__adj
anunAxa: None
anunAxiwa: None
anunaya: None
anunAyaka: None
anunayI: None
anunnawa: None
anUpa: None
anupajAU: None
anupakAra: None
anupakArI: None
anupalabXa: wIn/a__adj
anupalabXi: None
anupalakRiwa: None
anupAlana: rAw/a__n
anupama: wIn/a__adj
anupamA: None
anupAna: None
anupAnIya: None
anupapanna: None
anupapawwi: None
anupAsana: None
anupasWiwa: wIn/a__adj
anupasWiwi: SAnwi/__n
anupAwa: rAw/a__n
anupawana: None
AnupAwika: wIn/a__adj
anupaxa: None
Anupaxika: None
anupaxiRta: None
anupayoga: None
anupayogI: ajAwI/__adj
anupayogiwA: None
anupayukwa: wIn/a__adj
anuprANana: None
anuprANiwa: wIn/a__adj
anuprApya: None
anuprAsa: None
anupraSna: None
anupraveSa: None
anupraxAna: None
anuprayukwa: None
anupUraka: rAw/a__n
anupUrakapraSna: None
anupUriwa: None
anupuruRa: None
anupUrva: None
AnupUrva: None
AnupUrvI: None
anupUrvya: None
AnupUrvya: None
anurAga: rAw/a__n
anurAgI: None
anurakRaka: None
anurakRaNa: None
anurakwa: None
anurakwi: None
anuRaMga: None
anuRaMgI: ajAwI/__adj
anuRaMgika: None
AnuRaMgika: wIn/a__adj
anuraMjana: None
anuraMjiwa: None
anurawa: None
anurawi: None
anurAXA: kAl/A__n
anuRecana: None
anuReka: None
anUrjiwa: None
anuRNa: None
anuroXa: rAw/a__n
anuroXaka: None
anuroXI: None
anuRTAna: rAw/a__n
anuRTApana: None
anuRTAwA: None
anuRTAwavya: None
anuRTeya: None
anuRTiwa: None
anuRtup: None
anurUpa: wIn/a__adj
anUrXva: None
anusaciva: None
anusamApana: None
anusamarWana: None
anusaMhiwa: None
anuSaMsA: pIdZ/A__n
anuSaMsiwa: wIn/a__adj
anusaMXAna: rAw/a__n
anusaMXAnaleKa: None
anusaMXAnI: None
anusaMXAyI: None
anusaMXeya: None
anusaMXi: None
anusAraka: None
anusaraNa: rAw/a__n
anusArI: None
anuSAsaka: None
anusAsana: None
anuSAsana: rAw/a__n
anuSAsI: None
anuSAsiwa: wIn/a__adj
anuSAswA: None
anuSIlana: None
anuSIliwa: None
anuSiRta: None
anusmAraka: None
anusmaraNa: None
anuSocana: None
anuSoka: None
anusqRti: None
anusqwa: None
anusqwi: None
anuSruwa: None
anuSruwi: None
anusUcI: ladak/I__n
anusvAra: None
anUTA: kAl/A__adj
anuvacana: None
AnuvaMSika: wIn/a__adj
AnuvaMSikawA: None
AnuvaMSikI: None
anuvarwana: rAw/a__n
anuvarwI: None
anuvAxa: rAw/a__n
aNuvAxa: None
anuvAxaka: None
anuvAxI: None
aNuvAxI: None
anuvAxiwa: None
anuvAxya: None
anuveXa: None
anuviBAga: None
anuvixXa: None
anuvqwwa: None
anuvqwwi: None
anuvrawa: None
aNuvrawa: None
aNuvrIhi: None
anuwApa: None
anuwApana: None
anuwoRaNa: None
anuwpanna: None
anuwpawwi: None
anuwpawwika: None
anuwpAxa: None
anuwpAxaka: wIn/a__adj
anuwpAxana: None
anuwsAha: None
anuwsuka: None
anuwwama: None
anuwWAna: None
anuwwara: None
anUwwara: None
anuwwaraxAyI: None
anuwwariwa: rAw/a__n
anuwwIrNa: None
anuxAna: rAw/a__n
anuxAra: None
anuxarSana: None
anuXAvana: None
anuxAwwa: None
anuxBata: None
anuxBuwa: None
anuxeSa: None
anuxiwa: wIn/a__adj
anUxiwa: None
anuxvega: None
anuxvigna: None
anuxXAra: None
anuxXaraNa: None
anuxXawa: None
anUxya: None
anuxyama: None
anuxyamI: None
anuxyawa: None
anuxyoga: None
anuxyogI: None
anuyAcaka: None
anuyAwA: None
anuyAyI: ladak/I__n
anvAcaya: None
anvAKyAna: None
anvarWa: None
anvavasiwa: None
anvAxeSa: None
anvAxiRta: None
anvaya: None
anvayArWa: None
anvayI: None
anveRa: None
anveRaka: None
anveRakaprakASa: None
anveRaNa: rAw/a__n
anveRI: None
anveRiwa: None
anveRtA: None
AnvIkRikI: None
anviwa: None
anviwArWa: None
anviwi: None
Anxolana: rAw/a__n
anyaciwwa: None
anyagAmI: None
anya: wIn/a__adj
anyajAwa: None
anyapuruRa: None
anyArWa: None
anyASriwa: None
anyavAxI: None
anyawama: None
anyawara: None
anyawva: None
anyaxeSIya: wIn/a__adj
anyaxIya: None
anyAxqSa: None
anyAya: rAw/a__n
anyAyapUrNa: wIn/a__adj
anyAyI: None
anyAyya: None
anyokwi: None
anyonyABAva: None
anyonyASraya: None
anyUna: wIn/a__adj
apaBARaNa: None
apaBaya: None
ApabIwI: ladak/I__n
apaBraMSa: rAw/a__n
apaBraRta: None
apaca: None
apacakra: None
apacAra: None
apacAraka: None
apacaraNa: None
apacArI: None
apacaya: None
apacayana: None
apAcya: None
apaDa: None
apagama: None
apagamana: None
aPagAna: rAw/a__n
aPagAniswAna: rAw/a__n
apaGarRaNa: None
apaGatana: None
apagawa: None
apaGAwa: None
apagawi: None
apaGAwI: None
apaguNa: None
apAhaja: None
apahAraka: None
apaharaNa: rAw/a__n
apaharwA: pIdZ/A__n
apahawa: None
apAhija: None
apahqwa: wIn/a__adj
Apa: Apa/__p
apa: rAw/a__n
ApA: kAl/A__n
apajAwa: None
apajFAna: None
apakAjI: None
apakAra: None
apakAraka: None
apAkaraNa: None
apakaraNa: None
apakArI: None
apAkarma: None
apakarmA: None
apakarma: None
apakarRa: None
apakarRaka: None
apakarwA: None
apakIrwi: None
apakqRta: None
apakqwa: None
apakRa: None
apakRAlana: None
apakrama: None
apakrAma: None
apakramaNa: None
apakramI: None
apakRaya: rAw/a__n
apakRepa: None
apakRepaNa: None
apakriyA: None
apakroSa: None
apakva: None
Apakva: None
aPala: None
apalaka: None
apalakRaNa: None
apalApa: None
apalApI: None
aPalAwUna: rAw/a__n
apaleKana: None
aPaliwa: None
apamAna: rAw/a__n
apamAnajanaka: wIn/a__adj
apamAnI: None
apamAniwa: wIn/a__adj
apAmArga: None
apamArga: None
apamArgI: None
apamArjaka: None
apamArjana: None
apaMcIkqwa: None
apaMdiwa: None
apaMga: wIn/a__adj
apamiSraNa: None
apamqwyu: None
apanA: kAl/A__adj
aPanA: None
apAna: None
ApaNa: None
apanAma: None
apanApana: rAw/a__n
apanawva: None
apanaya: None
apanayana: None
apanIwa: None
Apanna: None
apaNya: None
apapATa: None
aparaBAva: None
aparaciwa: None
aparAhNa: None
apara: wIn/a__adj
apAra: wIn/a__adj
aparA: None
aPara: uT/a__v
aparaja: None
aparAjeya: wIn/a__adj
aparAjiwa: None
aparAjiwA: None
aparakAla: None
aparaloka: None
aparapakRa: None
apararAwra: None
aparasa: None
aparaspara: None
aparAvarwanIya: None
aparavaSa: None
aparawA: None
aparawaMwra: None
aparAXaBaMjana: None
aparAXa: rAw/a__n
apAraxarSaka: None
apAraxarSI: None
apAraxarSiwA: kAl/A__n
aparAXasvIkaraNa: None
aparAXavijFAna: None
aparAXI: ladak/I__n
aparaxiSA: None
aparAxXa: None
ApareSana: rAw/a__n
aparicaya: None
aparicCexa: None
aparicCinna: None
apariciwa: None
aparigaNya: None
aparigqhIwa: None
aparigraha: None
aparihAra: None
aparihArya: wIn/a__adj
aparikaliwa: None
aparIkRiwa: None
aparimeya: None
aparimiwa: wIn/a__adj
aparimlAna: None
apariNAma: None
apariNAmI: None
apariNawa: None
apariNaya: None
apariNayana: None
apariNIwa: None
aparipakva: wIn/a__adj
apariRkqwa: None
apariSeRa: None
aparivarwanIya: None
aparivarwiwa: None
aparivqwa: None
aparNa: None
aparNA: None
aparokRa: None
aparokRAnuBUwi: None
aparUpa: None
aparUpawA: None
aparuRa: None
aparva: None
apArWiva: None
aparyApwa: wIn/a__adj
aparyAya: None
apaSabxa: rAw/a__n
Apasa: Karc/a__n
apaSakuna: None
aPasAnA: None
aPasara: rAw/a__n
apasaraNa: None
apasAraNa: rAw/a__n
aPasarI: None
apasAriwa: None
apasarjana: None
apasarpaNa: None
apasavya: None
ApasaxArI: None
ApasI: ladak/I__n
apasixXAMwa: None
apaskAra: None
apasmAra: None
apasnAna: None
apaSoka: None
aPasosa: rAw/a__n
apaSu: None
apasvArWI: None
apaTa: None
apatana: None
apaTiwa: None
apavacana: None
aPavAha: rAw/a__n
apavAhaka: None
apavana: None
apavAraNa: None
apavarga: None
apavAriwa: None
apavarjana: rAw/a__n
apavaSa: None
apavAxa: rAw/a__n
apavAxaka: None
apavAxI: None
apaviwra: wIn/a__adj
apavixXa: None
apavixyA: None
apAvqwa: None
apavrawa: None
apavyaya: None
apavyayI: None
apaWa: None
ApAwa: rAw/a__n
APawa: None
Apawana: None
apawi: None
apawnI: None
apawnIka: None
apAwra: wIn/a__adj
apAwrakqwyA: None
apAwraxAyI: None
Apawwi: Apawwi/__n
Apawwijanaka: rAw/a__n
apaWya: None
apawya: None
apawyajIva: None
apawyakAma: None
apawyapaWa: None
apawyaxA: None
ApaxA: pIdZ/A__n
ApAxa: None
apAxAna: None
ApAXApI: None
apaxArWa: None
apaxasWa: None
apaxeKA: None
apaxravya: None
apAya: None
apayaSa: None
apcara: None
apekRAbuxXi: None
apekRA: pIdZ/A__n
ApekRika: None
apekRiwa: wIn/a__adj
apekRya: None
apewa: None
apeya: None
apIdana: None
ApIdana: None
apIla: rAw/a__n
aPImacI: None
aPIma: rAw/a__n
apinaxXa: None
APisa: rAw/a__n
APisara: rAw/a__n
apIwa: None
apiXAna: None
APiyawa: None
Aplava: None
AplAva: None
AplAvana: None
AplAviwa: None
apoha: None
apohana: None
apOruRa: None
apOruReya: None
appiwwa: None
apqkwa: None
apraBu: None
apracaliwa: wIn/a__adj
apracCanna: None
aprAcIna: None
apragalBa: None
aprAjFa: None
apraKara: None
aprakASa: None
aprakASiwa: None
aprakASya: None
aprakata: None
aprakqRta: None
aprakqwa: None
aprAkqwa: None
aprakqwi: None
aprAkqwika: wIn/a__adj
apramA: None
apramANa: None
aprAmANika: None
apramawwa: None
apramaxa: None
apramAxa: None
aprameya: None
apramiwa: None
apramoxa: None
aprANa: None
aprApwa: None
aprApwakAla: None
aprApwavayA: None
aprApwayOvana: None
aprApwi: None
aprApya: None
aprasakwa: None
aprasakwi: None
aprasaMga: None
aprAsaMgika: None
aprasanna: None
aprasixXa: None
apraswuwa: None
apraswuwapraSaMsA: None
apravarwwaka: None
ApravAsI: None
aprAvqwa: None
apravqwwa: None
apravqwwi: None
aprawiBa: None
aprawiBA: None
aprawibaMXa: None
aprawiBata: None
aprawiGAwa: None
aprawigqhya: None
aprawigrAhya: None
aprawihawa: None
aprawikara: None
aprawikAra: None
aprawikArI: None
aprawima: wIn/a__adj
aprawipawwi: None
aprawiRTa: None
aprawiRTA: None
aprawiRTiwa: None
aprawirUpa: None
aprawIwi: None
aprawiyogI: None
aprawyakRa: wIn/a__adj
aprawyASiwa: wIn/a__adj
aprawyaya: None
apraXAna: None
aprayawna: None
aprayoga: None
aprayukwa: None
aprEla: rAw/a__n
aprIwi: None
apriyaBAgI: None
apriya: wIn/a__adj
apriyakara: None
apriyavAxI: None
aprODa: None
aprODA: None
apsarA: None
aPsosa: None
apUjaka: None
apUjiwa: None
apUjya: None
apunIwa: None
apuNya: None
apUpa: None
apurANa: None
apuRkala: None
apUrNa: None
apuRpa: None
apuRta: None
apuruRa: None
apUrva: wIn/a__adj
apUrvarUpa: None
apUrvavAxa: None
apUrvaviXi: None
ApUrwi: SAnwi/__n
apUwa: None
apuwra: None
apuwraka: None
apuwrIya: None
Apwa: None
ApwakAma: None
ApwakArI: None
Apwavacana: None
ApyAyiwa: None
araba: rAw/a__n
arabI: ajAwI/__adj
ArabXa: None
ARADa: None
ARADI: None
arAga: None
araGA: None
aragajA: None
arAgI: None
arahara: rAw/a__n
Ara: rAw/a__n
ArA: None
arAjaka: wIn/a__adj
arAjakawA: pIdZ/A__n
arAjapawriwa: None
ArajU: None
ArajUmaMxa: None
araka: None
ArAkaSa: None
ArakestrA: None
ArakRa: None
ArakRaka: None
ArakRaNa: rAw/a__n
ArakRI: None
arakRiwa: None
ArakRiwa: wIn/a__adj
ArakRiwakoRa: None
ArakRiwaviRaya: None
ArAma: rAw/a__n
ArAmakursI: None
aramAna: rAw/a__n
ArAmaxAna: None
ArAmaxeha: None
AramBa: rAw/a__n
AraMBaka: None
AraMBika: rAw/a__n
araMdI: None
araNI: None
araNi: None
AraNyagAna: None
AraNya: None
araNya: rAw/a__n
AraNyaka: None
araNyaka: rAw/a__n
AraNyakAMda: None
AraNyaparva: None
AraNyapaSu: None
AraNyarASi: None
arArota: None
arasa: None
arasA: kAl/A__adj
arasaTa: None
ArasI: ladak/I__n
araswU: None
arAvalI: ladak/I__n
aravI: None
araviMxabaMXu: None
araviMxa: rAw/a__n
araviMxAkRa: None
araviMxanayana: None
ArAwi: None
araWI: None
ArawI: ladak/I__n
ArAXaka: None
araxalI: None
arAXanA: None
ArAXana: None
ArAXanA: kAl/A__n
ArAXanIya: None
araxAsa: None
ArAXiwa: None
ArAXya: wIn/a__adj
arBaka: None
arcA: None
arcaka: None
arcanA: kAl/A__n
arcana: None
arcanIya: None
arciRmAn: None
arciwa: None
Ardarabuka: None
Ardara: rAw/a__n
areNu: None
arGabqxXi: None
arGa: None
arGA: None
argalA: None
arGapawana: None
arGapAwra: None
arGasaMsWApana: None
arGaxAna: None
arGya: None
arha: wIn/a__adj
arhaka: None
arhaNIya: None
arhawA: pIdZ/A__n
arhiwa: wIn/a__adj
ariciMwA: None
ariGna: None
ari: None
ArI: None
arikarRaka: None
arikeSI: None
arimarxana: None
arinipAwa: None
ariRta: None
arisUxana: None
arITA: None
arja: None
arjaka: None
arjana: rAw/a__n
arjanIya: None
Arjava: None
arjI: ladak/I__n
arjiwa: wIn/a__adj
arjunacCavi: None
arjuna: rAw/a__n
arjunapAkI: None
arjunapuruRa: None
arjunaXvaja: None
arkacaMxana: None
arka: None
Arka: None
arkakAMwA: None
arkakara: None
ArmI: ladak/I__n
arNa: None
arNava: None
arNavaja: None
arNavamaMxira: None
arNavapawi: None
arNavayAna: None
arocaka: None
arodZA: None
aroga: None
arogI: None
Arogya: rAw/a__n
ArogyalABa: None
ArogyaSAlA: None
ArogyasnAna: None
Aroha: None
Arohaka: None
ArohaNa: None
Aropa: rAw/a__n
Aropaka: None
AropaNa: None
Aropapawra: None
Aropiwa: wIn/a__adj
arOxra: None
arpaNa: None
arpiwa: wIn/a__adj
ArRa: None
arSa: None
aRtabAhu: None
ArtagElarI: None
Arta: rAw/a__n
aRta: None
aRtaka: None
aRtakamala: None
aRtakarNa: None
aRtakoNa: None
aRtakula: None
aRtama: None
aRtamaka: None
aRtAMga: None
aRtamI: ladak/I__n
aRtapaxI: None
Artapepara: None
ArtaskUla: None
aRtAxaSa: None
aRtAXyAyI: None
Artista: rAw/a__n
aruA: None
aruci: SAnwi/__n
arucikara: None
arUDa: None
AruDa: None
arugNa: None
aruja: None
aruMXawI: ladak/I__n
aruNABa: None
aruNAcala: rAw/a__n
aruNa: wIn/a__adj
aruNA: kAl/A__n
aruNajyowI: None
aruNakara: None
aruNalocana: None
aruNapriyA: None
aruNaSiKA: None
AruNi: None
aruNoxaka: None
aruNoxaya: rAw/a__n
arUpa: None
arUpaka: None
arvAcIna: None
arWabaMXa: None
arWabuxXi: None
arWacara: None
